id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Karson;Bins;Margarita_Hirthe@hotmail.com;question yuck minus;2023-09-24T05:53:18;28065;26272
2;Cecilia;Keebler;Mattie_Mitchell@yahoo.com;unless yippee gee;2023-09-24T05:25:36;30956;13889
3;Ephraim;Stehr;Lola59@gmail.com;adventurously broad;2023-09-24T05:42:08;28212;18952
4;Kaitlin;Robel;Berta_Hills54@hotmail.com;sturdy psst satisfied;2023-09-24T14:33:56;12950;32220
5;Katarina;Predovic;Ronny.Turner15@hotmail.com;shimmer;2023-09-23T15:16:50;12431;13402
6;Yvette;Schulist;Juanita.Buckridge90@hotmail.com;large waken;2023-09-24T04:22:08;28580;1066
7;Fanny;Reilly;Deven.Crist@yahoo.com;wary;2023-09-23T18:30:55;10546;762
8;Josh;Treutel;Art75@yahoo.com;yippee hm brr;2023-09-23T14:53:56;69;6516
9;Harry;Marks;Rafaela.Doyle@gmail.com;lightscreen celebrated oof;2023-09-23T18:16:23;5679;9252
10;Keith;Zulauf-Skiles;Caroline_Bartell@hotmail.com;proud swiftly;2023-09-24T01:08:58;17190;29002
